"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,04/02/18,Bologna FC,ACF Fiorentina,,,"
"E0,04/02/18,Cagliari Calcio,SPAL Ferrara,,,"
"E0,04/02/18,Hellas Verona FC,AS Roma,,,"
"E0,04/02/18,Udinese Calcio,AC Milan,,,"
"E0,04/02/18,UC Sampdoria,Torino FC,,,"
"E0,04/02/18,SS Lazio,Genoa CFC,,,"
"E0,04/02/18,Juventus Turin,US Sassuolo Calcio,,,"
"E0,04/02/18,FC Internazionale Milano,FC Crotone,,,"
"E0,11/02/18,FC Internazionale Milano,Bologna FC,,,"
"E0,11/02/18,AC Chievo Verona,Genoa CFC,,,"
"E0,11/02/18,FC Crotone,Atalanta BC,,,"
"E0,11/02/18,ACF Fiorentina,Juventus Turin,,,"
"E0,11/02/18,SSC Napoli,SS Lazio,,,"
"E0,11/02/18,SPAL Ferrara,AC Milan,,,"
"E0,11/02/18,Torino FC,Udinese Calcio,,,"
"E0,11/02/18,US Sassuolo Calcio,Cagliari Calcio,,,"
"E0,11/02/18,UC Sampdoria,Hellas Verona FC,,,"
"E0,11/02/18,AS Roma,Benevento Calcio,,,"
"E0,18/02/18,Atalanta BC,ACF Fiorentina,,,"
"E0,18/02/18,Benevento Calcio,FC Crotone,,,"
"E0,18/02/18,Bologna FC,US Sassuolo Calcio,,,"
"E0,18/02/18,AC Chievo Verona,Cagliari Calcio,,,"
"E0,18/02/18,Genoa CFC,FC Internazionale Milano,,,"
"E0,18/02/18,Udinese Calcio,AS Roma,,,"
"E0,18/02/18,Torino FC,Juventus Turin,,,"
"E0,18/02/18,SSC Napoli,SPAL Ferrara,,,"
"E0,18/02/18,AC Milan,UC Sampdoria,,,"
"E0,18/02/18,SS Lazio,Hellas Verona FC,,,"
"E0,25/02/18,Bologna FC,Genoa CFC,,,"
"E0,25/02/18,Cagliari Calcio,SSC Napoli,,,"
"E0,25/02/18,FC Crotone,SPAL Ferrara,,,"
"E0,25/02/18,ACF Fiorentina,AC Chievo Verona,,,"
"E0,25/02/18,Hellas Verona FC,Torino FC,,,"
"E0,25/02/18,US Sassuolo Calcio,SS Lazio,,,"
"E0,25/02/18,UC Sampdoria,Udinese Calcio,,,"
"E0,25/02/18,AS Roma,AC Milan,,,"
"E0,25/02/18,Juventus Turin,Atalanta BC,,,"
"E0,25/02/18,FC Internazionale Milano,Benevento Calcio,,,"
"E0,04/03/18,Atalanta BC,UC Sampdoria,,,"
"E0,04/03/18,Benevento Calcio,Hellas Verona FC,,,"
"E0,04/03/18,AC Chievo Verona,US Sassuolo Calcio,,,"
"E0,04/03/18,Genoa CFC,Cagliari Calcio,,,"
"E0,04/03/18,SS Lazio,Juventus Turin,,,"
"E0,04/03/18,Udinese Calcio,ACF Fiorentina,,,"
"E0,04/03/18,Torino FC,FC Crotone,,,"
"E0,04/03/18,SPAL Ferrara,Bologna FC,,,"
"E0,04/03/18,SSC Napoli,AS Roma,,,"
"E0,04/03/18,AC Milan,FC Internazionale Milano,,,"
"E0,11/03/18,Bologna FC,Atalanta BC,,,"
"E0,11/03/18,Cagliari Calcio,SS Lazio,,,"
"E0,11/03/18,FC Crotone,UC Sampdoria,,,"
"E0,11/03/18,ACF Fiorentina,Benevento Calcio,,,"
"E0,11/03/18,Genoa CFC,AC Milan,,,"
"E0,11/03/18,Hellas Verona FC,AC Chievo Verona,,,"
"E0,11/03/18,FC Internazionale Milano,SSC Napoli,,,"
"E0,11/03/18,Juventus Turin,Udinese Calcio,,,"
"E0,11/03/18,AS Roma,Torino FC,,,"
"E0,11/03/18,US Sassuolo Calcio,SPAL Ferrara,,,"
"E0,18/03/18,Hellas Verona FC,Atalanta BC,,,"
"E0,18/03/18,FC Crotone,AS Roma,,,"
"E0,18/03/18,Benevento Calcio,Cagliari Calcio,,,"
"E0,18/03/18,AC Milan,AC Chievo Verona,,,"
"E0,18/03/18,SS Lazio,Bologna FC,,,"
"E0,18/03/18,SSC Napoli,Genoa CFC,,,"
"E0,18/03/18,UC Sampdoria,FC Internazionale Milano,,,"
"E0,18/03/18,SPAL Ferrara,Juventus Turin,,,"
"E0,18/03/18,Udinese Calcio,US Sassuolo Calcio,,,"
"E0,18/03/18,Torino FC,ACF Fiorentina,,,"
"E0,31/03/18,Cagliari Calcio,Torino FC,,,"
"E0,31/03/18,Atalanta BC,Udinese Calcio,,,"
"E0,31/03/18,Bologna FC,AS Roma,,,"
"E0,31/03/18,AC Chievo Verona,UC Sampdoria,,,"
"E0,31/03/18,ACF Fiorentina,FC Crotone,,,"
"E0,31/03/18,Genoa CFC,SPAL Ferrara,,,"
"E0,31/03/18,FC Internazionale Milano,Hellas Verona FC,,,"
"E0,31/03/18,Juventus Turin,AC Milan,,,"
"E0,31/03/18,SS Lazio,Benevento Calcio,,,"
"E0,31/03/18,US Sassuolo Calcio,SSC Napoli,,,"
"E0,08/04/18,Benevento Calcio,Juventus Turin,,,"
"E0,08/04/18,Hellas Verona FC,Cagliari Calcio,,,"
"E0,08/04/18,AC Milan,US Sassuolo Calcio,,,"
"E0,08/04/18,SSC Napoli,AC Chievo Verona,,,"
"E0,08/04/18,AS Roma,ACF Fiorentina,,,"
"E0,08/04/18,FC Crotone,Bologna FC,,,"
"E0,08/04/18,Udinese Calcio,SS Lazio,,,"
"E0,08/04/18,Torino FC,FC Internazionale Milano,,,"
"E0,08/04/18,SPAL Ferrara,Atalanta BC,,,"
"E0,08/04/18,UC Sampdoria,Genoa CFC,,,"
"E0,15/04/18,Atalanta BC,FC Internazionale Milano,,,"
"E0,15/04/18,Bologna FC,Hellas Verona FC,,,"
"E0,15/04/18,Cagliari Calcio,Udinese Calcio,,,"
"E0,15/04/18,AC Chievo Verona,Torino FC,,,"
"E0,15/04/18,ACF Fiorentina,SPAL Ferrara,,,"
"E0,15/04/18,Genoa CFC,FC Crotone,,,"
"E0,15/04/18,Juventus Turin,UC Sampdoria,,,"
"E0,15/04/18,SS Lazio,AS Roma,,,"
"E0,15/04/18,AC Milan,SSC Napoli,,,"
"E0,15/04/18,US Sassuolo Calcio,Benevento Calcio,,,"
"E0,18/04/18,Benevento Calcio,Atalanta BC,,,"
"E0,18/04/18,FC Crotone,Juventus Turin,,,"
"E0,18/04/18,ACF Fiorentina,SS Lazio,,,"
"E0,18/04/18,Hellas Verona FC,US Sassuolo Calcio,,,"
"E0,18/04/18,FC Internazionale Milano,Cagliari Calcio,,,"
"E0,18/04/18,SSC Napoli,Udinese Calcio,,,"
"E0,18/04/18,AS Roma,Genoa CFC,,,"
"E0,18/04/18,UC Sampdoria,Bologna FC,,,"
"E0,18/04/18,SPAL Ferrara,AC Chievo Verona,,,"
"E0,18/04/18,Torino FC,AC Milan,,,"
"E0,22/04/18,AC Chievo Verona,FC Internazionale Milano,,,"
"E0,22/04/18,Cagliari Calcio,Bologna FC,,,"
"E0,22/04/18,Atalanta BC,Torino FC,,,"
"E0,22/04/18,AC Milan,Benevento Calcio,,,"
