"Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR"
"E0,16/12/17,Montpellier Hérault SC,FC Metz,1,3,A"
"E0,16/12/17,RC Strasbourg Alsace,Toulouse FC,2,1,H"
"E0,16/12/17,ES Troyes AC,Amiens SC,1,0,H"
"E0,17/12/17,FC Nantes,Angers SCO,1,0,H"
"E0,17/12/17,OGC Nice,FC Girondins de Bordeaux,1,0,H"
"E0,17/12/17,Olympique Lyonnais,Olympique de Marseille,2,0,H"
"E0,20/12/17,Angers SCO,Dijon FCO,2,1,H"
"E0,20/12/17,FC Girondins de Bordeaux,Montpellier Hérault SC,0,2,A"
"E0,20/12/17,EA Guingamp,AS Saint-Étienne,2,1,H"
"E0,20/12/17,OSC Lille,OGC Nice,1,1,D"
"E0,20/12/17,FC Metz,RC Strasbourg Alsace,3,0,H"
"E0,20/12/17,AS Monaco FC,Stade Rennais FC,2,1,H"
"E0,20/12/17,Olympique de Marseille,ES Troyes AC,3,1,H"
"E0,20/12/17,Paris Saint-Germain,SM Caen,3,1,H"
"E0,20/12/17,Toulouse FC,Olympique Lyonnais,1,2,A"
"E0,20/12/17,Amiens SC,FC Nantes,0,1,A"
"E0,13/01/18,ES Troyes AC,FC Girondins de Bordeaux,,,"
"E0,13/01/18,SM Caen,OSC Lille,,,"
"E0,13/01/18,Dijon FCO,FC Metz,,,"
"E0,13/01/18,Montpellier Hérault SC,AS Monaco FC,,,"
"E0,13/01/18,FC Nantes,Paris Saint-Germain,,,"
"E0,13/01/18,OGC Nice,Amiens SC,,,"
"E0,13/01/18,Olympique Lyonnais,Angers SCO,,,"
"E0,13/01/18,Stade Rennais FC,Olympique de Marseille,,,"
"E0,13/01/18,AS Saint-Étienne,Toulouse FC,,,"
"E0,13/01/18,RC Strasbourg Alsace,EA Guingamp,,,"
"E0,17/01/18,Amiens SC,Montpellier Hérault SC,,,"
"E0,17/01/18,Angers SCO,ES Troyes AC,,,"
"E0,17/01/18,FC Girondins de Bordeaux,SM Caen,,,"
"E0,17/01/18,EA Guingamp,Olympique Lyonnais,,,"
"E0,17/01/18,OSC Lille,Stade Rennais FC,,,"
"E0,17/01/18,FC Metz,AS Saint-Étienne,,,"
"E0,17/01/18,AS Monaco FC,OGC Nice,,,"
"E0,17/01/18,Olympique de Marseille,RC Strasbourg Alsace,,,"
"E0,17/01/18,Paris Saint-Germain,Dijon FCO,,,"
"E0,17/01/18,Toulouse FC,FC Nantes,,,"
"E0,20/01/18,Montpellier Hérault SC,Toulouse FC,,,"
"E0,20/01/18,AS Monaco FC,FC Metz,,,"
"E0,20/01/18,SM Caen,Olympique de Marseille,,,"
"E0,20/01/18,Amiens SC,EA Guingamp,,,"
"E0,20/01/18,FC Nantes,FC Girondins de Bordeaux,,,"
"E0,20/01/18,OGC Nice,AS Saint-Étienne,,,"
"E0,20/01/18,Stade Rennais FC,Angers SCO,,,"
"E0,20/01/18,RC Strasbourg Alsace,Dijon FCO,,,"
"E0,20/01/18,ES Troyes AC,OSC Lille,,,"
"E0,21/01/18,Olympique Lyonnais,Paris Saint-Germain,,,"
"E0,27/01/18,EA Guingamp,FC Nantes,,,"
"E0,27/01/18,Dijon FCO,Stade Rennais FC,,,"
"E0,27/01/18,FC Girondins de Bordeaux,Olympique Lyonnais,,,"
"E0,27/01/18,Angers SCO,Amiens SC,,,"
"E0,27/01/18,OSC Lille,RC Strasbourg Alsace,,,"
"E0,27/01/18,FC Metz,OGC Nice,,,"
"E0,27/01/18,Paris Saint-Germain,Montpellier Hérault SC,,,"
"E0,27/01/18,AS Saint-Étienne,SM Caen,,,"
"E0,27/01/18,Toulouse FC,ES Troyes AC,,,"
"E0,28/01/18,Olympique de Marseille,AS Monaco FC,,,"
"E0,03/02/18,Amiens SC,AS Saint-Étienne,,,"
"E0,03/02/18,SM Caen,FC Nantes,,,"
"E0,03/02/18,OSC Lille,Paris Saint-Germain,,,"
"E0,03/02/18,Montpellier Hérault SC,Angers SCO,,,"
"E0,03/02/18,OGC Nice,Toulouse FC,,,"
"E0,03/02/18,Olympique de Marseille,FC Metz,,,"
"E0,03/02/18,Stade Rennais FC,EA Guingamp,,,"
"E0,03/02/18,RC Strasbourg Alsace,FC Girondins de Bordeaux,,,"
"E0,03/02/18,ES Troyes AC,Dijon FCO,,,"
"E0,04/02/18,AS Monaco FC,Olympique Lyonnais,,,"
"E0,10/02/18,EA Guingamp,SM Caen,,,"
"E0,10/02/18,Dijon FCO,OGC Nice,,,"
"E0,10/02/18,FC Girondins de Bordeaux,Amiens SC,,,"
"E0,10/02/18,Angers SCO,AS Monaco FC,,,"
"E0,10/02/18,FC Metz,Montpellier Hérault SC,,,"
"E0,10/02/18,FC Nantes,OSC Lille,,,"
"E0,10/02/18,Olympique Lyonnais,Stade Rennais FC,,,"
"E0,10/02/18,AS Saint-Étienne,Olympique de Marseille,,,"
"E0,10/02/18,RC Strasbourg Alsace,ES Troyes AC,,,"
"E0,10/02/18,Toulouse FC,Paris Saint-Germain,,,"
"E0,17/02/18,OSC Lille,Olympique Lyonnais,,,"
"E0,17/02/18,SM Caen,Stade Rennais FC,,,"
